text;label;note
"14. [Romano] Inter agree deal to sign Ivan Provedel as new goalkeeper from Lazio for €3m. Provedel signs a three year deal and joins as backup for the Spanish goalkeeper Josep Martinez - starting next season.

I think Romano may have rushed a bit with the last part. From what Provedel's agent said, he's not coming in accepting a backup role from the start. Will be interesting, I can see Chivu preferring him over Martinez.
He has always been an Inter fan, so for him this is coming full circle. He will come here to prove himself and compete for his place.

There’s the €3M Lotito needed to buy Reggina. That money isnt going to us that’s for sure lol.";Analytical/Speculative Take;
"15. [Marca] Enzo Fernández has now become Real Madrid’s number one goal to reinforce the midfield. Jose Mourinho wants him as a priority, and the club have Mateus Fernandes and Ayyoub Bouaddi as alternatives.

This is going to be the most rage-bait team ever assembled. Mourinho, Vini, Fernandez, Mbappé, Valverde, Cucurella and Rudiger. If it lasts 3 months without imploding that's a feat...
	AND Bernardo Silva
		I'd put him on top of the list honestly. Cucu gets a lot of hate for his antics, but Bernardo is by far the dirtier player. I'm sure now that he's in a proper big team more fans will acknowledge this lol";Drive-By Drop;
"16. [The Athletic] World Cup player Elye Wahi arrested for alleged fixing offences on eve of tournament

Not the first time he's got into trouble -
In March 2018, Elye Wahi was expelled from the Collège Jean-Moulin secondary school. Wahi had committed the following actions: ""Under the verbal threat of physical violence, [Wahi] ordered three of his classmates to follow him into the restrooms and forced them to undress. In November 2021, investigative reporter Romain Molina alleged that Wahi had pressured the three students to masturbate in front of him.
In October 2021, a 22-year-old woman filed a legal complaint against Wahi for violence that resulted in her being incapable to work. She claimed that he had punched her in the nose during an evening out at the L'Entrepôt nightclub in Lattes, Hérault.";High-Effort Write-up;#16 (Wahi) is High-Effort because the post body itself contains dated, narrative detail about prior incidents, independent of comments.
"17. [VG] Haaland’s World Cup goal made Norway shake – Registered on seismic sensors in Bergen

This is one of those things that sports teams love to boast but no one can easily disprove and im here for it.

Not jerking, the expert in that article has Jerkins as the last name.
I woke up my dog screaming when the first goal came in, on the second goal I heard screaming from my neighbour.";Human-Interest/Color;#17 (Haaland seismic) is Human-Interest per your own neutral-headline rule, since the dog/neighbor anecdote shows up regardless of stat-driven framing.
"18. 100% a red card' Should Lionel Messi have been on the pitch for his hat trick? - ESPN Video


Brazil and Morocco should have had some as well.
I’m of the opinion that after the first game having 3 red cards, the officials got pulled into a meeting and were told to chill.
	Two of them were for DOGSO, and the other was for violent conduct off the ball. None of them are really comparable to the ones in the Brazil vs Morocco match or yesterday’s match.";Analytical/Speculative Take;
"19. [World Cup 2026 Preview] Ghana: The Black Stars Try to Find Pride in the Chaos (45/48)

About
* Nickname: The Black Stars
* Association: Ghana Football Association
* Confederation: CAF
* World Cup appearances: 3 (2006, 2010, 2014)
* Best World Cup Finish: Quarterfinal 2010
* Most caps: Asamoah Gyan, Andre Ayew (109)
* Most goals: Asamoah Gyan (51)
* Head coach: Carlos Queiroz
* Captain: Andre ‘Dede’ Ayew
* FIFA ranking: 74 (as of 1 April)";High-Effort Write-up;
"20. [World Cup 2026 Preview] England: The Sixty-Year Quest for World Cup Glory (44/48)

About
* Nickname: Three Lions
* Confederation: UEFA
* Association: The Football Association (The FA)
* Best World Cup Finish: Winners (1966)
* Top National Team Scorers (top 3): Harry Kane (78), Wayne Rooney (53), Bobby Charlton (49)
* Most Caps (top 3): Peter Shilton (125), Wayne Rooney (120), David Beckham (115)
* Manager/Head Coach: Thomas Tuchel
* Captain: Harry Kane
* FIFA Ranking: 4";High-Effort Write-up;
"21. [World Cup 2026 Preview] Croatia: The Last Dance of the Vatreni's Legend (43/48)

When Mattia Zaccagni curled a 98th-minute equalizer into the top corner in Leipzig to eliminate Croatia from Euro 2024, the collective feeling was that an era had brutally ended. Fans watched a devastated Luka Modrić stare blankly into the distance, and most assumed that was the last time they'd see the legendary midfielder in a checkered shirt.
But to count this team out is a fool's errand. Fast forward to 2026, and the 40-year-old cyborg is strapping on a protective facial mask to lead them into North America for one absolutely final ride.
About
* Nickname: Vatreni (The Blazers) / Kockasti (The Checkered Ones)
* FIFA Ranking: 10th
* Manager: Zlatko Dalić
* Captain: Luka Modrić";High-Effort Write-up;
"22. Real Madrid CF announces that, in relation to the so-called 'Negreira Case', it has submitted a letter to UEFA addressed to its disciplinary bodies

Real Madrid CF announces that, in relation to the so-called 'Negreira Case', it has submitted a letter to UEFA addressed to its disciplinary bodies.In this document, the club has informed UEFA of the existence of relevant evidence that conclusively reinforces the indications already known from the beginning about the existence of prolonged, opaque payments lacking any verifiable justification, made by FC Barcelona to the former vice-president of the Technical Committee of Referees of the Royal Spanish Football Federation, José María Enríquez Negreira, through different corporate structures.Real Madrid emphasizes that these events, from the perspective of sports disciplinary law, constitute a systemic risk of the utmost seriousness to the integrity of competitions, by demonstrating the existence of a structure of undue influence over the refereeing body, incompatible with the essential principles of competitive equality, neutrality, impartiality and unpredictability of the sporting result.
In this context, Real Madrid has urged the immediate resumption of the disciplinary proceedings initiated by UEFA, considering it unacceptable that this situation has been prolonged, as its persistence seriously compromises the credibility of football, its institutions and its leaders, and therefore demands a firm, exemplary and immediate response in the sporting arena, independent of the outcome of the ongoing legal proceedings.
Therefore, our club requests that UEFA, in the exercise of its own autonomous and independent powers, adopt the appropriate disciplinary and restorative measures to guarantee the integrity, transparency, and proper functioning of the competitions, without this implying, under any circumstances, replacing the function of the State's judicial bodies or prejudging a criminal classification of the facts. In this regard, Real Madrid, a party to the ongoing criminal proceedings as a private prosecutor, will continue to pursue, as it has done since the beginning, the corresponding actions at each procedural stage.
Real Madrid reaffirms its commitment to upholding the essential values of sport and will continue to promote all necessary actions to ensure that acts of this nature do not go unpunished.";High-Effort Write-up;
"23. [World Cup 2026 Preview] Portugal: Ronaldo’s Last Dance Meets a Golden Generation (42/48)
We move on to 42nd team in list covering Portugal*. This preview was written by* u/RepresentativeBox881
About
* Nickname: A Selecao (The Selection)
* Association: Federação Portuguesa de Futebol (FPF)
* Confederation: UEFA
* World Cup appearances: 9 (1966, 1986, 2002, 2006, 2010, 2014, 2018, 2022, 2026)
* Best World Cup finish: Third Place (1966)
* Head Coach: Roberto Martinez
* Captain: Cristiano Ronaldo
* Most Caps: Cristiano Ronaldo (227)
* Most Goals: Cristiano Ronaldo (143)
* FIFA Ranking: 5 (as of 1 April 2026)";High-Effort Write-up;
"24. [World Cup 2026 Preview] Democratic Republic of Congo: The 52-Year Wait, a Defensive Wall, and the Belgian Bubble (41/48
We now move on last 8 teams that play today. We start with 41st team in series DR Congo.
Fifty-two years ago, the team then known as Zaire became the first Sub-Saharan African side to play at a World Cup. That 1974 campaign is largely remembered for a 9-0 humiliation by Yugoslavia and defender Mwepu Ilunga breaking from the wall to punt a Brazilian free-kick downfield, a bizarre, desperate protest against the dictatorial Mobutu regime over unpaid tournament bonuses. Fast forward to March 31, 2026, in Guadalajara: Burnley's Axel Tuanzebe buries a 100th-minute extra-time header against Jamaica to book their return to the global stage, prompting the government to declare a national public holiday. The Leopards are finally back.
About
* Nickname: Les Léopards (The Leopards)
* FIFA Ranking: 46th
* Manager: Sébastien Desabre
* Captain: Chancel Mbemba";High-Effort Write-up;
"25. [World Cup 2026 Preview] Argentina: The Champions Return With Messi, Scaloni, and Another Trophy in Sight (40/48)

The final preview for today covers the defending champions Argentina as they try for their 4th star. This preview is also written by u/smmshad
About
* Nickname: La Albiceleste (The White and Sky Blues)
* Association: Argentine Football Association (AFA)
* Confederation: CONMEBOL
* World Cup appearances: 19
* Best World Cup Finish: Champions (1978, 1986, 2022)
* Most caps: Lionel Messi (198)
* Most goals: Lionel Messi (116)
* Head coach: Lionel Scaloni
* Captain: Lionel Messi
* FIFA ranking: 1";High-Effort Write-up;
"26. [World Cup 2026 Preview] Jordan: Al-Nashama Make Their World Cup Debut (39/40)
We now move on the 39th team in series, covering Jordon*. This preview is again written by* u/smmshad
About
* Nickname: Al Nashama (The Chivalrous Ones)
* Association: Jordan Football Association (JFA)
* Confederation: AFC
* World Cup appearances: 1
* Best World Cup Finish: TBD
* Most caps: Amer Shafi (171)
* Most goals: Hamza Al-Dardour (33)
* Head coach: Jamal Sellami
* Captain: Ehsan Haddad
* FIFA ranking: 63";High-Effort Write-up;
"27. [World Cup 2026 Preview] Uruguay: Chaos, Mutiny, and 'El Loco's' Vertical Football (30/48)
Last November, following a humiliating 5-1 friendly defeat to the United States, Marcelo Bielsa sat in front of the press in Montevideo for a bizarre two-hour conference and essentially confessed to being a walking hazard. “I’m a generator of tension,"" he told reporters. ""I'm toxic. To associate yourself with me makes you worse off”.
If you’ve followed Uruguay over the last couple of years, you know that this World Cup cycle has been an absolute soap opera. They went from beating Argentina and Brazil in late 2023, to a near-mutiny led by a departing Luis Suárez, to a dreadful run of form where they secured just one win in twelve matches. Yet, the storm seems to have temporarily settled. Bielsa is still at the wheel, and La Celeste are heading to North America with a tactical identity that will either see them blow teams away or completely implode.
About
* Nickname: La Celeste (The Sky Blue)
* FIFA Ranking: 17th
* Manager: Marcelo Bielsa
* Captain: Federico Valverde";High-Effort Write-up;
"28. [World Cup 2026 Preview] Japan: Overcoming the Round of 16 Curse Amidst an Injury Crisis (19/48)
Moving on to the 19th team on our list, we look at Japan, the Land of the Rising Sun. I've always loved their native name, Nippon (日本), and this summer, they're looking to make some serious noise.
The 2022 World Cup gave us historic, euphoric highs (slaying Germany and Spain) and agonizingly familiar lows (crashing out to Croatia on penalties in the Round of 16). For decades, making it out of the group stage felt like the pinnacle of Japanese football. But the narrative has shifted drastically heading into North America. Over the past twelve months, the Samurai Blue went to Tokyo and came from behind to beat Brazil 3-2, then walked into Wembley and defeated England 1-0. They are no longer turning up just to participate or hoping for a lucky upset; this squad legitimately believes it can dismantle the world's elite.
About
* Nickname: Samurai Blue
* FIFA Ranking: 18th
* Manager: Hajime Moriyasu
* Captain: To Be Announced (Following Wataru Endo's withdrawal)";High-Effort Write-up;
"29. [World Cup 2026 Preview] Germany: A Team in Transition That Doesn't Quite Know Where It Stands Yet (17/48)
I guess I'm sobering after Socceroos game so I will finish previews for team that play today. Gonna probably do all 8 of them in row so bear with me depending on which order this post hits your feed. u/sga1 was gracious in putting out this preview for Germany*. Thanks to him!!*
About
* Nickname: none
* FIFA Ranking: 10th
* Manager: Julian Nagelsmann
* Captain: Joshua Kimmich";High-Effort Write-up;
"30. [World Cup 2026 Preview] Australia: New Eras, Grueling Fitness, and Unleashing the Kids (15/48)

Good afternoon. We continue with the 15th team in the series, Australia, who will play against Türkiye in the midnight game. Maybe it will carry the same magic as the South Korea vs. Czechia game, like a CONCACAF After Dark classic. But I digress. Let's get on with it before we have four back-to-back games.*
It started as a complete disaster. Losing 1-0 at home to Bahrain and drawing 0-0 in Jakarta was the breaking point. Graham Arnold resigned, and Football Australia hit the panic button, parachuting Tony Popovic into the head coaching role with just weeks to prepare for crucial fixtures. A member of their fabled 2006 World Cup squad, ""Popa"" completely upended the national team setup. He implemented a ruthless, physically punishing regime, stabilized the ship, and orchestrated an eight-match unbeaten run that secured their direct qualification for the first time since 2014—mercifully avoiding the dreaded intercontinental playoffs.
About
* Nickname: Socceroos
* FIFA Ranking: 26th
* Manager: Tony Popovic
* Captain: Mathew Ryan";High-Effort Write-up;
"[World Cup 2026 Preview] Qatar: A Last Hurrah for Al-Annabi's Asian Cup Core (9/48) The next preview in this follow Qatar*, host of previous World Cup. The preview piece is provided by* u/FlyingArab

About
Nickname(s): Al-Annabi (The Maroons)

Association: Qatar Football Association

Confederation: AFC (Asia)

FIFA World Cup Appearances: 2 - (2022, 2026)

Best Finish: Group Stages (2022)

Most Caps: Hassan Al-Haydos

Top Scorer: Mansoor Muftah

FIFA Ranking: 57
";High-Effort Write-up;
"[World Cup 2026 Preview] USA: The Hosts, The Hype, and The High-Line Headaches (8/48)We now move on to 8th team in preview series covering our third host nation USA.

There’s a strange, lingering anxiety surrounding the USMNT heading into this home World Cup. By all accounts, this tournament was supposed to be the moment the sport truly exploded stateside, but a mix of astronomical ticket prices, we’re talking $2,700+ for standard seats to the opener, and some genuinely terrifying defensive performances in the spring have left the fanbase in a state of borderline panic. Yet, beneath the noise, there is still a talented squad here. They just need to put the pieces together before they kick off against Paraguay.

About
Nickname: The Stars and Stripes, USMNT

FIFA Ranking: 16th

Manager: Mauricio Pochettino

Captain: Tim Ream
";High-Effort Write-up;
"[World Cup 2026 Preview] Paraguay: Return of the Guaraní Grit (7/48)

We continue with 7th team in this series covering Paraguay on the eve of their game with host USA.

For 16 long years, Paraguayan fans have had to sit at home and watch the World Cup on television, enduring a painfully long competitive exile. That misery finally ended when a tense qualification campaign sealed their ticket to North America, sparking wild euphoria across the country.

They are back, and true to their history, they are going to make ourselves an absolute nightmare to play against.

About

Nickname: La Albirroja (The White and Red)

FIFA Ranking: 40th

Manager: Gustavo Alfaro

Captain: Gustavo Gómez";High-Effort Write-up;
"[World Cup 2026 Preview] Bosnia and Herzegovina: Chaos, Poker, and One Last Dance in North America (5/48)

Today, we move on to 5th team in this series. We cover Bosnia and Herzegovina today. This one is again covered by me.

When 21-year-old Esmir Bajraktarević, a kid born in Wisconsin stepped up to bury the decisive penalty against Italy in the UEFA playoffs, it sparked scenes of absolute pandemonium in Zenica. Against all odds, the four-time world champions were out, and Bosnia and Herzegovina had booked their ticket to only their second-ever World Cup.

To say this qualification was unexpected is a massive understatement. Prior to this playoff run, the Zmajevi (Dragons) had won just four of their previous 19 matches across two miserable qualification cycles. But following a chaotic, emotionally charged campaign, they are heading to North America riding a wave of diaspora energy and pure, unadulterated vibes.

About

Nickname: Zmajevi (The Dragons)

FIFA Ranking: 64th

Manager: Sergej Barbarez

Captain: Edin Džeko";High-Effort Write-up;
"[World Cup 2026 Preview] Mexico: The Hosts, The Altitude, and The Endless Goalkeeper Drama (1/48)
Hello everyone, and welcome back to the r/soccer World Cup Preview Series! As a quick reminder: we plan to drop these previews usually a day or two before each team's first game to get you primed for the action.

Here is a opinionated preview for Mexico by yours truly:

Welcome back to the beautiful, stressful chaos that is the Mexican National Team.

For a country hosting the World Cup for a record third time, the vibes around El Tri are a strange cocktail of intense national pride, lingering trauma, and cautious optimism. Forty years after the legendary 1986 tournament on home soil, Mexico is once again attempting to turn the thin air of the Estadio Azteca into their ultimate weapon.

About

Nickname: El Tri

FIFA Ranking: 15th

Manager: Javier Aguirre

Captain: Edson Álvarez";High-Effort Write-up;
"Scaloni's reaction after Lionel Messi's hat-trick.
r/soccer - Scaloni's reaction after Lionel Messi's hat-trick.
Cut Scaloni some slack. He tries to implement tactics and team play, then Messi shows up and destroys the opposition all by himself. That has to be frustrating.
It is more about him rarely celebrating even when they score. I remember how it was the same in the 2022 WC. He wants to keep calm in any situation. Even when Argentina won the WC after the last penalty he was still kind of holding back before he ""broke"" and started crying.

In a sense he doesn't want to be swayed by the moment and celebrate too early it feels like
Job's not finished


Unless we score the 1-1 in Bolivia, there he celebrated like a madman
Fair point, Bolivia away is harder than the World Cup
Yet they never ask ""but can he do it on a hot wednesday night in La Paz"".
In South America, we do it all the time

It's a humbling experience for all of us";Analytical/Speculative Take;
[Simon Stone] Brighton have no immediate plans to bid for Tottenham's Vuskovic.                      Did they get told that they will need to double their offer to have any chance? And then some, 30m for a player who’s had one of the best seasons from a teenage centre back I have ever seen was a genuinely hilarious offer. It’s like they meant to bid on dragusin but got the wrong name lol;Analytical/Speculative Take;
"Messi on moving level as the joint all-time top scorer in World Cup history: ""It’s an honour, obviously, to be there because of what it means to be alongside Klose, and Ronaldo is there as well, and Mbappe scored two today. But in the end it is statistics and nothing more""

Klose, it was a good 12-year run. He's a true icon of international football; he was inevitable at the World Cup.
Germany was just too consistent. Two semifinals and two finals in four tournaments. Klose couldn't have picked a better time to rack up goals at the World Cup.
Yeah, Germany were great, and having a reliable striker definitely helped. They were weak up front for a while after him, and it's still one of their weaknesses, though Undav is looking great for them. 16 goals in 4 World Cups is incredible.
Having Klose and Müller at the same time was some seriously clinical attacking football.
Müller's breakout in 2010 was crazy to watch.
It's what made me fall in love with him as a player. As a fellow goofy, lanky guy, I quickly became a fan.
That season was so wonderful and nostalgic. Regardless of how it ended, both domestically and internationally, it was special.";Human-Interest/Color;
"[OC] I made an interactive map of the birthplaces of all players, managers and referees plus all national teams and stadiums at the 2026 FIFA World Cup

Using OpenStreetMap's uMap feature, I created a complete interactive map showing the birthplaces of all 1,248 World Cup players (including the latest replacement call-ups), along with managers and referees.
Because reliable location data was difficult to find in some cases, a small number of birthplaces were estimated.
The map also includes markers for all 48 participating national teams and every stadium being used during the tournament.
Clicking on a player marker reveals additional information such as their full name, club, and market value.
Player markers are clustered to improve performance and reduce lag. You may need to zoom in to view all individual locations.
I waited until the official player portraits were released before publishing the map to give it a cleaner appearance.
Credit to others in the community who created similar versions earlier, but I wanted to take a different approach and include the finalized tournament rosters.
There are likely a few mistakes or inaccuracies, so feedback and corrections are welcome.
Have fun exploring the map!";High-Effort Write-up;
"Lionel Scaloni on Messi: “What Leo did is difficult to explain.”

“We see him every day and he still surprises us. He has been doing it for 20 years, every single match. What he did today at 38 is difficult to explain.”

He still got it.
He never lost it";Drive-By Drop;
"DR Congo Arrive at 2026 World Cup in Custom Leopard-Themed Suits

Hard.
Me too.
""Coming to America"" indeed.
DR Congo always reminds me of ""Doctor Congo"" lol.
At least they are not Dr Tottenham.";Drive-By Drop;
"England flags could be confiscated from supporters attending World Cup opener

Because they don't want fans hanging flags and banners over the LED signs, citing safety concerns. Probably due to blocking advertising though. Small flags are allowed.
That advertising part is really what's going on.
When players are booked for taking their shirt off, we know what's up. This is the same thing.";Analytical/Speculative Take;
"Leo Messi: “I cried after the first goal, yes… but it was something completely unrelated to football. I went through some difficult days, but I’m grateful to the entire delegation and my teammates because they were always by my side, giving me a lot of strength.”

Rumor is that his dad is sick. It would make sense if that's the case.
That sucks if true.
Damn, that sucks.
Haven't heard that rumor.";Human-Interest/Color;
"Iraq 0-1 Norway - Erling Haaland 29'

Give the man a sniff...
The most Erling-esque goal he could have scored.
And now with blood in the water... how will the rest of the team respond?
Scored in the first 30 minutes of his World Cup debut. What a star.
The Haaland sense. Gets into great positions and makes goals look easy.";Drive-By Drop;
"Marcus Rashford available for £40m – but not to Liverpool or City

Transfers between United and Liverpool simply don't happen, so it didn't really need to be said.
Does the name Fred Hopkin mean nothing to you?
I was there!
Okay Fred, we know.
We're having cottage pie again this evening. I'll wake you up when it's time.
Gabriel Heinze didn't like that.
For his insolence, he had to suffer the punishment of going to Real Madrid. What a sucker.";Drive-By Drop;
"France 2 - [1] Senegal - I. Mbaye 90+4'

Theo got absolutely smoked.
His soul left his body.
He got sniped the way he dropped.
The face I made after those stepovers left him on the ground.
Shades of Messi vs Boateng.
You mean Messi-Boateng? Lol.";Drive-By Drop;
"France penalty shout against Senegal 58'

What the hell was Mané thinking lunging in like that.
Clever way to win a goal kick clearly.
And waste time simultaneously.
Years of experience";Drive-By Drop;
"Kylian Mbappé will have a special Golden Boot patch only on his kit with France because he was the top scorer in the last World Cup. (8 goals in 2022 edition)

PATCH WATCH.
Someone call TeaGuvnor.
ICEFROG PLEASE VOLVO PLEASE.
I was like, why the fuck are they talking about Mbappé in the Dota sub?
How is a Dota reference the top comment on r/soccer, that is wild.";Drive-By Drop;
"Paul Pogba paid a visit to the French National Team’s hotel to give them support as they embark on their World Cup campaign

“Anglais? Français?” Lmao.
Kanté and Digne the lone survivors from Euro 2016  I bet they’re trolling Olise with the English/French thing.
Even World Cup 2014 for Digne.
It’s crazy how long he’s been around. He’s only 32 as well.";Drive-By Drop;
"From Shamrock Rovers to defying Spain: ‘Rusty’ Roberto Lopes savours Cape Verde’s finest hour

Fun fact, 10 days after Cape Verde's last group stage match, Shamrock Rovers will play Floriana FC in Champions League qualifiers.
My captain!
I will be cheering for your team to make it through the playoffs";Human-Interest/Color;
"World Cup 2026 Preview] Austria: Rangnick’s Pressing Machine Arrives as a Dark Horse (38/48)

We now move on the 38th team in the series, covering Austria*. The preview was written by* u/smmshad

About

Nickname: Das Team (The Team)

Association: Österreichischer Fußball-Bund (Austrian Football Association) (ÖFB)

Confederation: UEFA

World Cup appearances: 4

Best World Cup Finish: Third Place (1954)

Most caps: Marko Arnautović (133)

Most goals: Marko Arnautović (47)

Head coach: Ralf Rangnick

Captain: David Alaba

FIFA ranking: 24";High-Effort Write-up;
"[World Cup 2026 Preview] Algeria: The Desert Foxes Bring Technical Quality and Tournament Ambition (37/38)
We now move on the 37th team in the series, covering Algeria*. The preview was written by* u/smmshad

About

Nickname: Les Fennecs (The Desert Foxes)

Association: Fédération Algérienne de Football (FAF)

Confederation: CAF

World Cup appearances: 5

Best World Cup Finish: Round of 16 (2014)

Most caps: Aïssa Mandi (116)

Most goals: Islam Slimani (45)

Head coach: Vladimir Petković

Captain: Riyad Mahrez

FIFA ranking: 28";High-Effort Write-up;
"[World Cup 2026 Preview] France: The Last Dance of Deschamps, Lethal Transitions, and an Attacking Juggernaut (36/48)

We move on the team who recently reach two back to back finals and won one. The 36th team in series focuses on France who take on Senegal.

When the final whistle blows on France's 2026 World Cup campaign, it will mark the end of an era for Les Bleus. Entering the tournament as one of the heavy favorites, they boast what is arguably the deepest and most talented attacking roster in international football. Seeking their third consecutive World Cup final appearance, the French squad arrives in North America highly motivated to secure a historic third star as a final homage to their legendary manager.

About

Nickname: Les Bleus

FIFA Ranking: 3rd

Manager: Didier Deschamps

Captain: Kylian Mbappé";High-Effort Write-up;
"[World Cup 2026 Preview] Senegal: Angry, Rejuvenated, and Ready for a 2002 Rematch (35/48)

We now move on to 35th team in series, Senegal who take on the France today.

Twenty-four years ago, World Cup debutants Senegal walked onto the pitch in Seoul to face the defending champions, France, and shocked the globe with a 1-0 win. In 2026, the scriptwriters have given us the exact same opening fixture in New Jersey. But this time, the Lions of Teranga are arriving with a massive chip on their shoulder.

Senegal comes into this tournament off the back of a chaotic calendar year. They reached the AFCON final against Morocco in January, conceded a last-gasp penalty, and subsequently walked off the pitch in protest. Following the drama, the Confederation of African Football controversially stripped them of the continental title, a decision the Senegalese federation has appealed to the Court of Arbitration for Sport. Now, they are treating this tournament as a revenge tour.

About

Nickname: Lions of Teranga

FIFA Ranking: 14th

Manager: Pape Thiaw

Captain: Kalidou Koulibaly";High-Effort Write-up;
"[World Cup 2026 Preview] Iraq: The Lions of Mesopotamia Get Their Long-Awaited Return (34/38)

The 34th team in this series is Iraq*. The preview is shared by* u/FlyingArab

About
Nickname(s): Usood Al Rafidain (Lions of Mesopotamia)

Association: Iraqi Football Association

Confederation: AFC (Asia)

FIFA World Cup Appearances: 2 - (1986, 2026)

Best Finish: Group Stages (1986)

Most Caps: Younis Mahmoud

Top Scorer: Hussein Saeed

FIFA Ranking: 56
";High-Effort Write-up;
"[World Cup 2026 Preview] Norway: The 28-Year Exile Ends With an Offensive Avalanche (33/48)

Moving to 8 teams playing today, we now present 33rd team in this series, Norway.

For twenty-eight agonizing years, they watched the World Cup from their couches. Not since the heady days of 1998, when Kjetil Rekdal slotted a late penalty to beat Brazil in Marseille, had Norway graced the global stage. But on a crisp November night at the San Siro, the exile ended in the most emphatic way imaginable: a 4-1 dismantling of Italy that secured a perfect eight-wins-from-eight qualifying campaign. To mark the occasion, the players wore a special gold version of the national crest, a collective exorcism of nearly three decades of near-misses and crushing disappointments.

About

Nickname: Landslaget (The National Team)

FIFA Ranking: 31st

Manager: Ståle Solbakken

Captain: Martin Ødegaard";High-Effort Write-up;
"Zidane signs a jersey for Pogba, Marcelo, Kaká, and Rodrygo in Brooklyn

Your favourite players’ favourite player.
Zidane was one of only two players Messi asked to swap shirts with.
Who else.
Harry Maguire.
it’s sunny innit?
The weawa!? The weawa?
If pictures were allowed here, I would’ve posted Maguire with the R9 haircut.";Drive-By Drop;
"A map of all Hajduk fan organizations (DPH) in Croatia and neighbouring countries

Considering the huge influx of international fans into this sub during the World Cup, it would've made sense to mention that Hajduk is a football club, as it's not that well known outside the region.
THE BIGGEST CLUB IN THE WORLD.
Not in Hungary.";Drive-By Drop;
